Gene,Normal_to_Damaged,Normal_to_Poorly_diff,Normal_to_Well_diff,Damaged_to_Poorly_diff,Damaged_to_Well_diff,Poor_to_well_diff
FLVCR1-AS1,0,0,0,0,0,0
FOXD2-AS1,0,0,0,0,0,0
FOXN3-AS1,1,0,1,0,0,0
FOXP1-IT1,1,0,0,0,0,0
FTX,1,0,0,0,0,0
FZD10-AS1,0,0,0,0,0,0
GABPB1-AS1,0,0,0,0,0,0
GAS1RR,1,1,1,0,1,0
GAS5,0,0,0,0,0,0
GAS6-AS2,0,0,0,0,0,0
GATA2-AS1,0,0,1,0,0,0
GHRLOS,0,0,0,0,0,0
GMDS-AS1,0,0,0,0,0,0
GNG12-AS1,0,1,1,0,0,0
GS1-114I9.1,0,0,0,0,0,0
GS1-115G20.1,0,1,1,0,0,0
GS1-124K5.4,0,0,0,0,0,0
GS1-393G12.12,0,0,0,0,0,0
GS1-600G8.5,0,1,1,0,0,0
H19,0,0,0,0,0,0
H1FX-AS1,0,0,0,0,0,0
HAGLR,0,1,0,0,0,0
HAGLROS,1,1,1,0,0,0
HAND2-AS1,0,0,1,0,0,0
HCG11,0,0,0,0,0,0
HCG18,0,1,0,0,0,0
HCG27,0,0,0,0,0,0
HCP5,0,1,1,0,0,0
HEXA-AS1,0,1,0,0,0,0
HHLA3,0,1,0,0,0,0
HLA-F-AS1,0,0,0,0,0,0
HMGN3-AS1,0,0,0,0,0,0
HOTAIR,0,0,0,0,0,0
HOTAIRM1,0,0,0,0,0,0
HOXA-AS2,0,1,0,0,0,0
HOXA10-AS,0,0,0,0,0,0
HOXB-AS1,0,0,0,0,0,0
HOXC13-AS,1,0,0,0,0,0
HOXD-AS2,0,0,0,0,0,0
IGFBP7-AS1,0,0,0,0,0,0
ILF3-AS1,0,0,0,0,0,0
INE1,0,0,0,0,0,0
INTS6-AS1,0,0,0,0,0,0
IQCH-AS1,0,0,1,0,0,0
ITGA9-AS1,0,1,1,0,1,0
ITGB2-AS1,0,0,0,0,0,0
JHDM1D-AS1,1,1,1,0,0,0
JPX,0,0,0,0,0,0
KANSL1-AS1,0,0,0,0,0,0
KB-1460A1.5,0,1,1,0,0,0
KB-1562D12.1,0,0,0,0,0,0
KB-1732A1.1,0,1,1,0,0,0
KB-318B8.7,0,0,1,0,0,0
KC6,1,1,1,1,1,1
KCNJ2-AS1,0,0,0,0,0,0
KCNMB2-AS1,0,0,0,0,0,0
KCNQ1OT1,0,0,1,0,0,0
